Sl. ,Asrayon Code,Asrayon project name,Upazilla name,Union,Latitude,Longitude,Altitude,Precision
1,Sadar_A01,"Jolsidi Asrayon Project, Cox's Bazar sadar",Cox's Bazar Sadar,Khurushkul,21.47187,91.99961667,7.3,4.9
2,Sadar_A02,"Badochoda Asrayon Project, Cox's Bazar sadar",Cox's Bazar Sadar,Khuniapalong,21.39650183,92.0020615,-8.441,3.7230995
3,Ramu_A01,"Jowarianala Asrayon Project, Ramu",Ramu,Joarianala,21.48661571,92.0883547,-30,5
4,Ramu_A02,"Rajarkol Asrayon Project, Ramu",Ramu,Rajarkul,21.39003712,92.11403777,-36,5
5,Ramu_A03,"Eidgor Kormaliamora Asrayon Project, Ramu",Ramu,Idgar,21.54436257,92.15038133,-24.829,5
6,Ramu_A04,"Kuniyapalong Asrayon Project, Ramu",Ramu,Khuniapalong,21.3419943,92.120738,-42.305,5
7,Ramu_A05,"Kuniyapalong Goccagram Asrayon Project, Ramu",Ramu,Khuniapalong,21.34260455,92.12128755,-41.948,0.9001789
8,Ramu_A06,"Rupnagar Asrayon Project, Ramu",Ramu,Kacchapia,21.42691,92.18485333,1.2,4.8
9,Ramu_A07,Paner chora asrayon,Ramu,Daksin Mithachori,21.38211198,92.07193455,-70,1.933856
10,Ramu_A08,"Tholatali Asrayon Project, Ramu",Ramu,Kacchapia,21.43484248,92.18214953,-39.117,5
11,Moheshkhali_A01,"Dinespur Asrayon Project, Moheshkhali",Moheshkhali,Saflapur,21.59478823,91.98293848,-54.327,1.4212518
12,Moheshkhali_A02,"Jaliyapada Asrayon Project, Moheshkhali",Moheshkhali,Chhotomahesh khali,21.54344567,91.97502072,-14.642,5
13,Moheshkhali_A03,"Morangona Asrayon Project, Moheshkhali",Moheshkhali,Saflapur,21.61502402,91.98003662,-43.537,5
14,Moheshkhali_A04,"Kaidabad Asrayon Project-01, Moheshkhali",Moheshkhali,Saflapur,21.61006012,91.98340467,-236.894,5
15,Moheshkhali_A05,"Kaidabad Asrayon Project-02, Moheshkhali",Moheshkhali,Kutubjom,21.52180218,91.90782608,-32.411,5
16,Moheshkhali_A06,Tajiakata adhorsogram asrayon project,Moheshkhali,Kutubjom,21.52198337,91.9136456,-80.697,5
17,Moheshkhali_A07,Lombaghona asrayon project,Moheshkhali,Chhotomahesh khali,21.54588715,91.96710653,-50.485,4.999852
18,Teknaf_A01,"Whykhon Asrayon Project, Teknaf",Teknaf,Whykong,21.11228917,92.1994972,-24.012,3.2431223
19,Pekua_A01,"Armanima Asrayon Project, Pekua",Pekua,Pekua,21.80560908,91.99343425,6.842,3.2999759
20,Kutubdia_A01,"Dokkin Durong Zele Asrayon Project, Kutubdia",Kutubdia,Dakshin Durung,21.87750753,91.86376358,-80.342,5
21,Chakaria_A01,"Uttar Manikpor Faithon Asrayon Project, Chakaria",Chakaria,Kakara,21.77604,92.13592,474.5,5
,,,,,,,,
